,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
422,Iqoo Neo 10R 5G,Midnight,Lava,256,"69,900",69885,22
423,Apple IPHONE 14 PRO,Red,Lava,512,"89,900",89885,8
424,Apple IPHONE 14 PRO,Pink,Redmi,256,"59,900",59885,17
425,Apple IPhone 14,White Titanium,REDMI,128,"89,900",89885,30
426,Apple Iphone 13,Natural Titanium,REDMI,128,"59,900",59885,11
427,Apple Iphone 13,Blue Titanium,SAMSUNG,256,"89,900",89885,29
428,Apple Iphone 13,Black Titanium,SAMSUNG,512,"69,900",69885,14
429,Apple Iphone 13,Gold,Redmi,128,"69,900",69885,26
430,Apple Iphone 13,Gold,Redmi,512,"69,900",69885,11
431,Apple Iphone 13,Silver,Redmi,128,"89,900",89885,8
432,Apple Iphone 13,Purple,Redmi,512,"89,900",89885,25
433,Apple Iphone 13,Awesome Iceblue,Redmi,256,"89,900",89885,26
434,Apple Iphone 13,Starlight,Iqoo,256,"69,900",69885,8
435,Apple Iphone 13,MIdnight,Apple,256,"69,900",69885,30
436,Apple Iphone 13,Yellow,Iqoo,512,"59,900",59885,8
437,Apple Iphone 13,Pink,Iqoo,512,"59,900",59885,12
438,Apple Iphone 13,Pink,Iqoo,512,"1,34,900",134885,21
439,Apple Iphone 13,Green,Iqoo,256,"1,34,900",134885,18
440,Apple Iphone 13,MIdnight,Iqoo,256,"1,34,900",134885,25
441,Apple Iphone 13,MIdnight,Apple,128,"1,34,900",134885,9
442,Apple Iphone 13,Green,Apple,128,"1,34,900",134885,7
443,Apple Iphone 15 Pro,Pink,Apple,128,"1,44,900",144885,16
444,Apple Iphone 15 Pro,Yellow,Apple,128,"1,34,900",134885,48
445,Apple Iphone 15 Pro,Green,Apple,128,"1,34,900",134885,7
446,Apple Iphone 15 Pro,Starlight,Apple,128,"45,999",45984,6
447,Apple IPHONE 14 PRO MAX,Starlight,Apple,128,"79,900",79885,28
448,Apple IPHONE 14 PRO MAX,Yellow,Apple,256,"79,900",79885,9
449,Apple IPHONE 14 PRO MAX,Black,Apple,128,"89,900",89885,11
